Symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Headquarters Location,Date first added,CIK,Founded
A,Agilent Technologies Inc,reports,Health Care,Health Care Equipment,"Santa Clara, California",05/06/2000,1090872,1999
AAL,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",23/03/2015,6201,1934
AAP,Advance Auto Parts,reports,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",09/07/2015,1158449,1932
AAPL,Apple Inc.,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",30/11/1982,320193,1977
ABBV,AbbVie Inc.,reports,Health Care,Pharmaceuticals,"North Chicago, Illinois",31/12/2012,1551152,2013 (1888)
ABC,AmerisourceBergen Corp,reports,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",30/08/2001,1140859,1985
ABMD,ABIOMED Inc,reports,Health Care,Health Care Equipment,"Danvers, Massachusetts",31/05/2018,815094,1981
ABT,Abbott Laboratories,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",31/03/1964,1800,1888
ACN,Accenture plc,reports,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",06/07/2011,1467373,1989
ADBE,Adobe Systems Inc,reports,Information Technology,Application Software,"San Jose, California",05/05/1997,796343,1982
ADI,"Analog Devices, Inc.",reports,Information Technology,Semiconductors,"Norwood, Massachusetts",12/10/1999,6281,1965
ADM,Archer-Daniels-Midland Co,reports,Consumer Staples,Agricultural Products,"Chicago, Illinois",29/07/1981,7084,1902
ADP,Automatic Data Processing,reports,Information Technology,Internet Services & Infrastructure,"Roseland, New Jersey",31/03/1981,8670,
ADS,Alliance Data Systems,reports,Information Technology,Data Processing & Outsourced Services,"Plano, Texas",23/12/2013,1101215,1996
ADSK,Autodesk Inc.,reports,Information Technology,Application Software,"San Rafael, California",01/12/1989,769397,
AEE,Ameren Corp,reports,Utilities,Multi-Utilities,"St. Louis, Missouri",19/09/1991,1002910,1902
AEP,American Electric Power,reports,Utilities,Electric Utilities,"Columbus, Ohio",,4904,1906
AES,AES Corp,reports,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",02/10/1998,874761,1981
AFL,AFLAC Inc,reports,Financials,Life & Health Insurance,"Columbus, Georgia",28/05/1999,4977,1955
AGN,"Allergan, Plc",reports,Health Care,Pharmaceuticals,"Dublin, Ireland",12/04/1999,1578845,1983
AIG,American International Group,reports,Financials,Property & Casualty Insurance,"New York, New York",31/03/1980,5272,1919
AIV,Apartment Investment & Management,reports,Real Estate,Residential REITs,"Denver, Colorado",14/03/2003,922864,1994 (1975)
AIZ,Assurant,reports,Financials,Multi-line Insurance,"New York, New York",10/04/2007,1267238,
AJG,Arthur J. Gallagher & Co.,reports,Financials,Insurance Brokers,"Itasca, Illinois",31/05/2016,354190,
AKAM,Akamai Technologies Inc,reports,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",12/07/2007,1086222,1998
ALB,Albemarle Corp,reports,Materials,Specialty Chemicals,"Charlotte, North Carolina",01/07/2016,915913,1994
ALGN,Align Technology,reports,Health Care,Health Care Supplies,"San Jose, California",19/06/2017,1097149,1997
ALK,Alaska Air Group Inc,reports,Industrials,Airlines,"Seattle, Washington",13/05/2016,766421,1985
ALL,Allstate Corp,reports,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",13/07/1995,899051,1931
ALLE,Allegion,reports,Industrials,Building Products,"Dublin, Ireland",02/12/2013,1579241,1908
ALXN,Alexion Pharmaceuticals,reports,Health Care,Biotechnology,"Boston, Massachusetts",25/05/2012,899866,1992
AMAT,Applied Materials Inc.,reports,Information Technology,Semiconductor Equipment,"Santa Clara, California",16/03/1995,6951,1967
AMCR,Amcor plc,reports,Materials,Paper Packaging,"Warmley, Bristol, United Kingdom",07/06/2019,1748790,
AMD,Advanced Micro Devices Inc,reports,Information Technology,Semiconductors,"Sunnyvale, California",20/03/2017,2488,1969
